Product Name,Product Price
Afnan 9pm EDP,"LKR 3,490.00","
★★★★★  11000+ Decants Shipped ","


A versatile lavender fruity scent perfect for both work and outings. Lasts for 6 – 8 hours. 
🍏 Top Notes: Apple, Cinnamon, Bergamot, Wild Lavender
💐 Heart Notes: Orange Blossom, Lily of the Valley
🌿 Base Notes: Vanilla, Patchouli, Tonka Bean, Amber
Can be recommended for – Fruity, Outings, Work wear, Apple, Lavender 


"
Azzaro The Most Wanted EDP,"LKR 3,390.00","
★★★★★  11000+ Decants Shipped ","


A warm caramel cardamom scent perfect for both casual days and outings. Lasts
for 6 – 8 hours.
🍋 Top notes: Cardamom
❤️ Heart notes: Toffee, Caramel
🌳 Base notes: Amberwood
Can be recommended for – Fresh, Work wear, Daily Wear, Outings, Caramel, Best
seller


"
Bleu De Chanel EDP- Chanel Paris,"LKR 4,990.00","
★★★★★  11000+ Decants Shipped ","


A subtle yet classy lemon ginger scent that makes every day feel special. Lasts for 6 – 8 hours.
🍏 Top Notes: Lemon, Mint, Bergamot, Grapefruit
💐 Heart Notes: Ginger, Jasmin, Melon
🌿 Base Notes: Amberwood, Incense, Amber, Patchouli, Cedar
Can be recommended for – Fresh, Clean, Daily wear, Occasional, Outings, Ginger


"
Calvin Klein (CK) Defy EDP,"LKR 3,990.00","
★★★★★  11000+ Decants Shipped ","


A bold smoky leather with a spicy tangy twist perfect for everyday attention. Lasts for 6 – 8 hours.


Top Notes: 🍊 Mandarin Orange, Black Pepper​


Heart Notes: 🧥 Saffiano Leather, Suede​


Base Note: 🌿 Haitian Vetiver


Can be recommended for – Fresh, Work wear, Daily Wear, Outings, Leathery


"
Calvin Klein (CK) Shock for Him EDT,"LKR 2,790.00","
★★★★★  11000+ Decants Shipped ","


A bold mix of tobacco smoky spices and warmth made for effortless daily casual wear. Lasts upto 3 hours.
🍊 Top Notes: Clementine, Lavender
🌶️ Heart Notes: Cardamom, Pepper, Basil
🌲 Base Notes: Tobacco, Amber, Patchouli
Can be recommended for – Strong, Daily wear, Tobacco


"
Calvin Klein One (CK One),"LKR 2,790.00","
★★★★★  11000+ Decants Shipped ","


A timeless, fresh lemon unisex scent perfect for daily wear. Lasts upto 3 hours.
🌿 Top notes – Lemon, Bergamot, Green Notes
💐 Middle Notes – Violet, Rose, Nutmeg
🌸 Base Notes – Green Accord, Green Tea, Cedar, Amber
Can be recommended for – Fresh, Daily wear, Lemon


"
Club de Nuit Intense Man EDP,"LKR 3,390.00","
★★★★★  11000+ Decants Shipped ","


A vibrant citrus scent bursting with playful energy perfect for lively outings. Lasts for 6 – 8 hours.
🍊 Top notes: Lemon, Bergamot, Pineapple, Apple
🌿 Heart notes: Rose, Jasmine
🔥 Base notes: Musk, Ambergris, Patchouli, Vanilla
Can be recommended for – Strong, Fresh, Outings, Citrus


"
Davidoff Coolwater EDT,"LKR 2,790.00","
★★★★★  11000+ Decants Shipped ","


A minty aquatic freshness designed for effortless daily wear. Lasts upto 3 hours.
🌊 Top notes: Sea Water, Mint, Green Notes
🌳 Heart notes: Neroli
🏔 Base notes: Cedar, Ambergris
Can be recommended for – Fresh, Daily wear, Aquatic


"
Davidoff Coolwater Intense EDP,"LKR 3,490.00","
★★★★★  11000+ Decants Shipped ","


A bold tropical citrus scent with creamy coconut and warm amber depth perfect for confident wear. Lasts for 6 – 8 hours.
🍋 Top Notes: Green Mandarin
🥥 Heart Notes: Coconut Nectar
🌳 Base Notes: Amber
Can be recommended for – Fresh, Tropical, Evening wear, Holidays, Ambery


"
Dior Sauvage EDP,"LKR 4,290.00","
★★★★★  11000+ Decants Shipped ","


A fresh lavender-clean scent made for casual days and outings. Lasts for 6 – 8 hours.
🍊 Top Notes: Bergamot
💐 Heart Notes: Lavender,Star Anise, Nutmeg, Sichuan Pepper
🌲 Base Notes: Ambroxan, Vanilla
Can be recommended for – Fresh, Clean, Daily wear, Outings, Lavender


"
